Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
EC,0.624536382,PC,0.231675962,LiPF6,1.104976773,213.14999999999998,0.01,0.43841492474175225,42.841492474175226
EC,0.258429666,PC,0.543241905,LiPF6,1.627801789,293.15,5.64,5.287684322567276,0.06246731869374541
EMC,0.501890005,EC,0.334593336,LiPF6,1.286227345,243.14999999999998,1.381402,2.2509183920918856,0.6294448626047201
EMC,0.519650595,EC,0.34643373,LiPF6,1.017382507,323.15,13.815123999999999,13.193101399776847,0.045024756941968266
EMC,0.457213374,EC,0.304808916,LiPF6,2.054857149,253.14999999999998,1.45674,2.6388670291758576,0.8114880000383443
EMC,0.407913491,EC,0.407913491,LiPF6,1.485391631,303.15,9.857184,9.31020420593048,0.05549047213377774
EMC,0.39470436,EC,0.39470436,LiPF6,1.755300573,253.14999999999998,1.484595,2.830894304812348,0.9068461801449876
EMC,0.499060091,EC,0.332706727,LiPF6,1.330831581,243.14999999999998,1.660915,2.2487586978629266,0.3539276229445376
EMC,0.456815779,EC,0.304543853,LiPF6,2.062372437,243.14999999999998,0.462485,1.9789973043976865,3.279051870650262
EMC,0.564865524,EC,0.242085224,LiPF6,1.574106544,333.15,14.439771,15.520965162560007,0.07487612944554359
EMC,0.519167561,EC,0.346111707,LiPF6,1.02445094,273.15,5.317874,4.875984556140655,0.08309513235163989
EMC,0.394515658,EC,0.394515658,LiPF6,1.759287353,293.15,7.279225,7.302381684390379,0.003181201898605734
EMC,0.516550115,EC,0.344366743,LiPF6,1.06298298,323.15,10.883366,13.298722336283802,0.2219310033572152
EMC,0.453138062,EC,0.302092042,LiPF6,2.132513259,273.15,3.762906,4.304558501356012,0.14394526500423127
EMC,0.53013867,EC,0.35342578,LiPF6,0.867082456,243.14999999999998,1.714057,2.1104700544394057,0.23127180393616187
EMC,0.618150503,EC,0.264921644,LiPF6,0.871234005,333.15,12.879541,14.930120805936356,0.1592121804601854
EMC,0.472652424,EC,0.315101616,LiPF6,1.772808491,273.15,4.368409,4.692099069799881,0.0740979312605302
EMC,0.548475834,EC,0.235061072,LiPF6,1.817763732,253.14999999999998,1.835564,2.793320406684672,0.5217777242769374
EMC,0.581749107,EC,0.249321046,LiPF6,1.337462867,253.14999999999998,2.478011,2.9921833224663215,0.20749396288649305
EMC,0.652290485,EC,0.279553065,LiPF6,0.481256921,253.14999999999998,2.722753,2.1336563758745446,0.21636065560315437
EMC,0.458862994,EC,0.458862994,LiPF6,0.589878647,243.14999999999998,1.8335730000000001,1.7944080672533744,0.021359898267822273
EMC,0.452609958,EC,0.301739972,LiPF6,2.142678775,263.15,2.5697900000000002,3.3612418638703945,0.30798308961837123
EMC,0.498188056,EC,0.332125371,LiPF6,1.344678468,333.15,12.709521,15.876328420176312,0.24916811736463645
EMC,0.54557433,EC,0.36371622,LiPF6,0.656391405,333.15,13.850012999999999,13.358282193564513,0.03550399602047204
EMC,0.498077079,EC,0.332051386,LiPF6,1.346444132,303.15,8.660592,9.412807101474998,0.08685492879412848
EMC,0.63494366,EC,0.272118712,LiPF6,0.674166957,313.15,9.697897000000001,9.65157315499669,0.004776689730083851
EMC,0.49030862,EC,0.326872413,LiPF6,1.472027768,313.15,11.648578,11.222536414475437,0.03657455747169857
EMC,0.603140191,EC,0.258488653,LiPF6,1.056667548,333.15,14.409178,15.644506255679271,0.0857320421525274
EMC,0.379891264,EC,0.379891264,LiPF6,2.08031126,273.15,3.3100709999999998,4.361722144243137,0.3177125639429297
EMC,0.4546741,EC,0.303116067,LiPF6,2.10308021,273.15,3.997333,4.336694337826452,0.08489693949101863
EMC,0.453361719,EC,0.302241146,LiPF6,2.128215218,303.15,8.596558,8.15193070076229,0.051721549396596955
EMC,0.550414243,EC,0.235891818,LiPF6,1.78818979,323.15,12.604206999999999,12.671348160605067,0.005326884952386791
EMC,0.432727786,EC,0.432727786,LiPF6,1.022901868,293.15,8.591814999999999,7.564921417830826,0.11951998293366103
EMC,0.565702729,EC,0.242444027,LiPF6,1.562039251,243.14999999999998,1.2848950000000001,2.201139063311182,0.7130886674095407
EMC,0.548106084,EC,0.234902608,LiPF6,1.823428693,273.15,4.313576,4.640923705997058,0.07588777988310806
EMC,0.519071358,EC,0.346047572,LiPF6,1.025860286,243.14999999999998,1.625524,2.202920283012327,0.35520624919246174
EMC,0.407724789,EC,0.407724789,LiPF6,1.489124332,263.15,3.042542,3.8512420462051935,0.2657974963715187
EMC,0.433010839,EC,0.433010839,LiPF6,1.017932087,273.15,5.207817,4.869876190356803,0.06489106849245999
EMC,0.55894098,EC,0.37262732,LiPF6,0.483343241,253.14999999999998,2.1759399999999998,2.1391062387911073,0.016927746725044112
EMC,0.544952709,EC,0.363301806,LiPF6,0.664645648,253.14999999999998,2.914833,2.5315234083522045,0.13150310554594222
EMC,0.479735014,EC,0.319823342,LiPF6,1.649494301,313.15,11.644002,10.942273800992862,0.060265207701539286
EMC,0.602573113,EC,0.25824562,LiPF6,1.063854184,233.14999999999998,1.131931,1.6256007396725374,0.43613059424341
EMC,0.528566049,EC,0.226528307,LiPF6,2.134079527,323.15,12.175908,11.658228574516068,0.04251669982098517
EMC,0.433010839,EC,0.433010839,LiPF6,1.017932087,303.15,10.446228,9.2125197464233,0.11810083539979209
EMC,0.550292781,EC,0.235839763,LiPF6,1.790036783,263.15,2.90631,3.659823399570562,0.2592680751779961
EMC,0.489934571,EC,0.326623047,LiPF6,1.478175078,243.14999999999998,1.068535,2.22467188867583,1.0819831719839126
